iter	MultiClass
0	1.604319108
1	1.599909113
2	1.596196887
3	1.589989513
4	1.583997256
5	1.579073341
6	1.574633868
7	1.571374986
8	1.568802282
9	1.564250524
10	1.560719588
11	1.55751494
12	1.554805951
13	1.548696763
14	1.54460404
15	1.539589789
16	1.535635744
17	1.530174902
18	1.525545192
19	1.521563565
20	1.517502336
21	1.513318227
22	1.508797487
23	1.505850469
24	1.502671002
25	1.499078144
26	1.495956445
27	1.491473389
28	1.487832445
29	1.484728604
30	1.48177406
31	1.478995944
32	1.474505528
33	1.471490854
34	1.468306076
35	1.464633496
36	1.460417744
37	1.456480344
38	1.452809268
39	1.44996464
40	1.446577339
41	1.443497795
42	1.439413184
43	1.436547413
44	1.432251576
45	1.428682636
46	1.426206635
47	1.423795598
48	1.420708914
49	1.417470358
50	1.41458969
51	1.412174371
52	1.40966289
53	1.407021383
54	1.403366386
55	1.398760654
56	1.395352406
57	1.390360052
58	1.387653042
59	1.383577291
60	1.379602505
61	1.376297209
62	1.373693116
63	1.37059648
64	1.366157451
65	1.364068982
66	1.359475692
67	1.355911441
68	1.352481702
69	1.349517533
70	1.344793423
71	1.340669166
72	1.338083009
73	1.334222003
74	1.331016129
75	1.327483717
76	1.324038254
77	1.319702602
78	1.315688454
79	1.3126576
80	1.310698681
81	1.307826766
82	1.303515353
83	1.299831845
84	1.297007322
85	1.293770223
86	1.291218992
87	1.28731639
88	1.28501985
89	1.282013498
90	1.278050063
91	1.274220364
92	1.271542473
93	1.268172642
94	1.265263046
95	1.263013663
96	1.25882083
97	1.256232105
98	1.253978799
99	1.252151437
