iter	Passed	Remaining
0	62	6184
1	66	3253
2	70	2270
3	74	1778
4	77	1480
5	81	1278
6	85	1137
7	89	1029
8	93	942
9	97	874
10	101	817
11	104	769
12	108	727
13	112	691
14	116	659
15	120	632
16	124	607
17	128	584
18	132	563
19	136	544
20	140	527
21	144	510
22	147	495
23	151	478
24	154	462
25	157	447
26	160	432
27	163	420
28	166	407
29	169	395
30	172	383
31	175	372
32	178	362
33	181	351
34	184	342
35	187	332
36	190	323
37	192	314
38	195	306
39	198	298
40	201	290
41	204	282
42	207	275
43	210	268
44	213	261
45	216	254
46	219	247
47	222	240
48	225	234
49	228	228
50	231	222
51	234	216
52	237	210
53	240	204
54	243	199
55	246	193
56	249	188
57	252	182
58	255	177
59	258	172
60	261	167
61	264	161
62	266	156
63	269	151
64	273	147
65	276	142
66	278	137
67	281	132
68	284	127
69	287	123
70	290	118
71	293	114
72	297	109
73	300	105
74	302	100
75	305	96
76	309	92
77	312	88
78	316	84
79	319	79
80	323	75
81	327	71
82	330	67
83	334	63
84	337	59
85	340	55
86	343	51
87	346	47
88	349	43
89	352	39
90	355	35
91	358	31
92	361	27
93	364	23
94	367	19
95	370	15
96	373	11
97	376	7
98	379	3
99	382	0
