Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Battery Consumption (mAh/day)
53,Male,Mumbai,Vivo,Android,3.7,23.9,37.9,104,3.9,469,5.2,4.1,803,Education,4421.5
60,Other,Delhi,Realme,Android,9.2,28.1,13.7,169,2.8,4997,5.1,0.4,1526,Gaming,12926.0
37,Female,Ahmedabad,Nokia,Android,4.5,12.3,66.8,96,3.0,2381,1.7,2.9,1619,Entertainment,2767.5
32,Male,Pune,Samsung,Android,11.0,25.6,156.2,146,5.2,1185,3.2,0.3,1560,Entertainment,14080.000000000002
16,Male,Mumbai,Xiaomi,Android,2.2,2.5,236.2,86,5.5,106,3.4,2.3,742,Social Media,275.0
21,Male,Jaipur,Oppo,Android,5.4,10.6,210.6,25,4.2,6285,0.6,4.8,1749,Entertainment,2862.0
57,Female,Lucknow,Apple,Ios,6.0,35.2,154.5,123,0.8,2653,2.9,2.3,1073,Social Media,10560.0
56,Other,Kolkata,Realme,Android,3.1,43.5,125.3,188,2.3,9767,5.2,5.0,1136,Entertainment,6742.5
46,Female,Kolkata,Oppo,Android,5.3,46.4,21.3,194,3.7,2870,6.1,2.8,1253,Entertainment,12296.0
44,Other,Kolkata,Apple,Ios,9.9,10.6,180.2,84,4.8,9193,7.6,0.4,168,Education,5247.0
55,Other,Lucknow,Nokia,Android,1.6,23.7,192.0,27,3.1,9330,1.2,2.3,1098,Work,1896.0
41,Female,Delhi,Oppo,Android,7.5,23.5,84.9,187,0.9,643,3.5,2.7,151,Social Media,8812.5
53,Male,Bangalore,Realme,Android,10.5,1.4,33.7,137,4.5,7854,7.2,1.4,240,Education,735.0
35,Male,Jaipur,Realme,Android,10.3,32.4,247.1,124,5.2,3347,3.8,4.5,972,Social Media,16686.0
33,Female,Jaipur,Samsung,Android,1.7,33.2,208.8,121,3.0,3185,4.2,0.5,1046,Entertainment,2822.0000000000005
52,Male,Bangalore,Google Pixel,Android,5.1,28.5,169.2,161,4.6,6175,4.4,4.3,1769,Work,7267.5
46,Other,Mumbai,Apple,Ios,3.1,23.6,153.9,183,2.5,6242,6.2,0.4,1679,Education,3658.0000000000005
54,Male,Kolkata,Apple,Ios,11.6,12.6,210.4,62,4.9,4642,0.9,4.1,1360,Entertainment,7308.0
50,Female,Chennai,Google Pixel,Android,5.3,5.2,235.6,188,4.6,1120,1.0,0.8,1639,Work,1378.0
40,Other,Hyderabad,Motorola,Android,9.0,38.9,289.6,62,2.4,8012,7.7,2.0,1224,Work,17505.0
60,Male,Pune,Samsung,Android,10.4,46.0,38.0,110,3.0,511,6.8,1.3,311,Social Media,23920.0
59,Other,Pune,Xiaomi,Android,11.7,9.1,203.9,101,5.8,2579,2.6,4.1,446,Gaming,5323.499999999999
46,Other,Chennai,Samsung,Android,8.1,15.5,206.8,77,5.9,1776,3.4,2.5,899,Social Media,6277.5
16,Female,Hyderabad,Vivo,Android,1.4,25.5,222.0,141,1.6,1119,2.8,0.4,1118,Gaming,1784.9999999999998
29,Female,Bangalore,Realme,Android,7.0,41.7,51.0,130,1.4,2604,3.5,1.6,1154,Education,14595.000000000002
36,Male,Hyderabad,Vivo,Android,5.6,47.4,155.4,123,5.9,1886,2.3,3.0,955,Work,13272.0
15,Male,Delhi,Vivo,Android,9.2,42.7,230.9,180,0.5,4611,1.0,2.5,210,Gaming,19642.0
